No,Sex,Body site
158,female ,external auditory canal 
159,female ,external auditory canal 
160,female ,hypothenar palm 
161,female ,hypothenar palm 
162,female ,hypothenar palm 
163,female ,hypothenar palm 
164,female ,toenail 
165,female ,toenail 
166,female ,toenail 
167,female ,toenail 
168,male ,antecubital crease 
169,male ,antecubital crease 
170,male ,antecubital crease 
171,male ,antecubital crease 
172,male ,volar forearm 
173,male ,volar forearm 
174,male ,volar forearm 
175,male ,volar forearm 
176,male ,inguinal crease 
177,male ,inguinal crease 
178,male ,nare 
179,male ,nare 
180,male ,inguinal crease 
181,male ,inguinal crease 
182,male ,nare 
183,male ,nare 
184,male ,plantar heel 
185,male ,plantar heel 
186,male ,plantar heel 
187,male ,plantar heel 
188,male ,glabella 
189,male ,glabella 
190,male ,back 
191,male ,back 
192,male ,retroauricular crease 
193,male ,retroauricular crease 
194,male ,retroauricular crease 
195,male ,retroauricular crease 
196,male ,manubrium 
197,male ,manubrium 
198,male ,occiput 
199,male ,occiput 
200,male ,toeweb 
201,male ,toeweb 
202,male ,toeweb 
203,male ,toeweb 
204,male ,external auditory canal 
205,male ,external auditory canal 
206,male ,external auditory canal 
207,male ,external auditory canal 
208,male ,hypothenar palm 
209,male ,hypothenar palm 
210,male ,hypothenar palm 
211,male ,hypothenar palm 
212,male ,toenail 
213,male ,toenail 
214,male ,toenail 
215,male ,toenail 
216,male ,volar forearm 
217,male ,volar forearm 
218,male ,plantar heel 
219,male ,plantar heel 
220,female ,retroauricular crease 
221,female ,retroauricular crease 
222,male ,antecubital crease 
223,male ,antecubital crease 
224,male ,antecubital crease 
225,male ,antecubital crease 
226,male ,back 
227,male ,back 
228,male ,external auditory canal 
229,male ,external auditory canal 
230,male ,external auditory canal 
231,male ,external auditory canal 
232,male ,glabella 
233,male ,glabella 
234,male ,hypothenar palm 
235,male ,hypothenar palm 
236,male ,hypothenar palm 
237,male ,hypothenar palm 
238,male ,inguinal crease 
239,male ,inguinal crease 
240,male ,inguinal crease 
241,male ,inguinal crease 
242,male ,manubrium 
243,male ,manubrium 
244,male ,nare 
245,male ,nare 
246,male ,nare 
247,male ,nare 
248,male ,occiput 
249,male ,occiput 
250,male ,plantar heel 
251,male ,plantar heel 
252,male ,plantar heel 
253,male ,plantar heel 
254,male ,retroauricular crease 
255,male ,retroauricular crease 
256,male ,toeweb 
257,male ,toeweb 
258,male ,retroauricular crease 
259,male ,retroauricular crease 
260,male ,toeweb 
261,male ,toeweb 
262,male ,volar forearm 
263,male ,volar forearm 
264,male ,volar forearm 
265,male ,volar forearm 
266,male ,toenail 
267,male ,toenail 
268,female ,toenail 
269,female ,toenail 
270,female ,antecubital crease 
271,female ,antecubital crease 
272,female ,antecubital crease 
273,female ,antecubital crease 
274,female ,back 
275,female ,back 
276,female ,external auditory canal 
277,female ,external auditory canal 
278,female ,external auditory canal 
279,female ,external auditory canal 
280,female ,glabella 
